evidence_class,axis,axis_value,is_base_value,agent_scale,seed,strategy,accuracy,false_confident_consensus_rate,questions_per_claim,independent_roots_per_question,conflict_detection_rate,resolved_gap_rate,final_independent_roots,total_questions,total_new_roots,n_claims
synthetic_simulation,corrupt_root_prob,0.05,0,1000,0,none,0.8833333333333333,0.016,0.0,0.0,0.6233885819521179,0.0,3.186,0,0,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,0,random,0.9,0.008666666666666666,3.0,0.22177777777777777,0.7117863720073665,0.14520958083832336,3.8513333333333333,4500,998,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,0,uncertainty,0.904,0.017333333333333333,0.8326666666666667,0.22417934347477983,0.6187845303867403,0.008982035928143712,3.3726666666666665,1249,280,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,0,lineage,0.9026666666666666,0.006666666666666667,0.25666666666666665,0.9324675324675324,0.6777163904235728,0.0,3.425333333333333,385,359,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,0,continual,0.9386666666666666,0.008666666666666666,1.5553333333333332,0.8426918131161595,0.6841620626151013,0.35778443113772457,4.496666666666667,2333,1966,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,1,none,0.8653333333333333,0.017333333333333333,0.0,0.0,0.6398503274087932,0.0,3.186,0,0,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,1,random,0.9073333333333333,0.009333333333333334,3.0,0.21888888888888888,0.7343311506080449,0.1246376811594203,3.8426666666666667,4500,985,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,1,uncertainty,0.9,0.017333333333333333,0.88,0.23712121212121212,0.6361085126286249,0.014492753623188406,3.3946666666666667,1320,313,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,1,lineage,0.894,0.007333333333333333,0.276,0.9082125603864735,0.696913002806361,0.0,3.4366666666666665,414,376,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,1,continual,0.9346666666666666,0.009333333333333334,1.594,0.820577164366374,0.695977549111319,0.36086956521739133,4.494,2391,1962,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,2,none,0.8713333333333333,0.014666666666666666,0.0,0.0,0.6595547309833024,0.0,3.223333333333333,0,0,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,2,random,0.8993333333333333,0.006,3.0,0.2311111111111111,0.7588126159554731,0.14772727272727273,3.9166666666666665,4500,1040,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,2,uncertainty,0.902,0.014666666666666666,0.8893333333333333,0.22188905547226387,0.6576994434137291,0.01278409090909091,3.4206666666666665,1334,296,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,2,lineage,0.896,0.007333333333333333,0.24933333333333332,0.946524064171123,0.7207792207792207,0.0,3.4593333333333334,374,354,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,2,continual,0.9453333333333334,0.008,1.6086666666666667,0.8495648570244508,0.7179962894248608,0.3664772727272727,4.59,2413,2050,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,3,none,0.8813333333333333,0.018,0.0,0.0,0.6178861788617886,0.0,3.2333333333333334,0,0,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,3,random,0.9053333333333333,0.011333333333333334,3.0,0.22266666666666668,0.7190605239385727,0.15666178623718888,3.9013333333333335,4500,1002,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,3,uncertainty,0.9106666666666666,0.018,0.852,0.2433489827856025,0.6160794941282746,0.016105417276720352,3.4406666666666665,1278,311,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,3,lineage,0.9013333333333333,0.008,0.23466666666666666,0.8920454545454546,0.6675700090334237,0.0,3.4426666666666668,352,314,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,3,continual,0.9473333333333334,0.008666666666666666,1.5566666666666666,0.8458244111349036,0.6729900632339657,0.35431918008784774,4.55,2335,1975,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,4,none,0.872,0.018666666666666668,0.0,0.0,0.6391659111514053,0.0,3.2266666666666666,0,0,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,4,random,0.904,0.009333333333333334,3.0,0.23377777777777778,0.7416137805983681,0.13314447592067988,3.928,4500,1052,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,4,uncertainty,0.9046666666666666,0.018666666666666668,0.8713333333333333,0.22800306044376434,0.6337262012692656,0.018413597733711047,3.425333333333333,1307,298,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,4,lineage,0.8993333333333333,0.007333333333333333,0.254,0.8582677165354331,0.6980961015412511,0.0,3.4446666666666665,381,327,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,4,continual,0.9353333333333333,0.01,1.5973333333333333,0.8309682804674458,0.6980961015412511,0.35127478753541075,4.554,2396,1991,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,5,none,0.8886666666666667,0.017333333333333333,0.0,0.0,0.6623735050597976,0.0,3.220666666666667,0,0,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,5,random,0.9166666666666666,0.008,3.0,0.22666666666666666,0.7442502299908004,0.1384180790960452,3.9006666666666665,4500,1020,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,5,uncertainty,0.9086666666666666,0.017333333333333333,0.8586666666666667,0.2484472049689441,0.6596136154553818,0.00847457627118644,3.434,1288,320,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,5,lineage,0.9013333333333333,0.010666666666666666,0.244,0.9371584699453552,0.7074517019319227,0.0,3.449333333333333,366,343,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,5,continual,0.9426666666666667,0.01,1.588,0.8434089000839631,0.7083716651333947,0.3827683615819209,4.56,2382,2009,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,6,none,0.8813333333333333,0.015333333333333332,0.0,0.0,0.6242095754290876,0.0,3.196,0,0,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,6,random,0.9133333333333333,0.006666666666666667,3.0,0.22955555555555557,0.7416440831074977,0.1259150805270864,3.8846666666666665,4500,1033,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,6,uncertainty,0.9026666666666666,0.016,0.8646666666666667,0.2336160370084811,0.6214995483288166,0.008784773060029283,3.398,1297,303,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,6,lineage,0.898,0.006,0.24666666666666667,0.9135135135135135,0.6865401987353207,0.0,3.421333333333333,370,338,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,6,continual,0.942,0.006,1.5766666666666667,0.8384778012684989,0.6820234869015357,0.37920937042459735,4.518,2365,1983,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,7,none,0.8786666666666667,0.015333333333333332,0.0,0.0,0.6584922797456857,0.0,3.2413333333333334,0,0,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,7,random,0.9073333333333333,0.011333333333333334,3.0,0.2288888888888889,0.7520435967302452,0.14627285513361463,3.928,4500,1030,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,7,uncertainty,0.9026666666666666,0.016,0.846,0.24428684003152087,0.6566757493188011,0.009845288326300985,3.448,1269,310,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,7,lineage,0.8933333333333333,0.005333333333333333,0.248,0.9166666666666666,0.7202543142597638,0.0,3.4686666666666666,372,341,1500
synthetic_simulation,corrupt_root_prob,0.05,0,1000,7,continual,0.932,0.01,1.616,0.8287953795379538,0.7166212534059946,0.3881856540084388,4.580666666666667,2424,2009,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,0,none,0.8466666666666667,0.023333333333333334,0.0,0.0,0.663582842724979,0.0,3.2006666666666668,0,0,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,0,random,0.87,0.014666666666666666,3.0,0.22666666666666666,0.7628259041211102,0.10625,3.8806666666666665,4500,1020,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,0,uncertainty,0.864,0.023333333333333334,1.014,0.23602892833662065,0.6627417998317914,0.005,3.44,1521,359,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,0,lineage,0.8646666666666667,0.014,0.26,0.9051282051282051,0.7165685449957948,0.0,3.436,390,353,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,0,continual,0.902,0.014666666666666666,1.7873333333333334,0.8276762402088773,0.7224558452481077,0.28625,4.68,2681,2219,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,1,none,0.8366666666666667,0.02266666666666667,0.0,0.0,0.6844331641285956,0.0,3.2266666666666666,0,0,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,1,random,0.8646666666666667,0.015333333333333332,3.0,0.22111111111111112,0.7800338409475466,0.10285006195786865,3.89,4500,995,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,1,uncertainty,0.8593333333333333,0.023333333333333334,1.04,0.21025641025641026,0.682741116751269,0.006195786864931847,3.445333333333333,1560,328,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,1,lineage,0.86,0.009333333333333334,0.252,0.8968253968253969,0.7368866328257191,0.0,3.4526666666666666,378,339,1500
