condition,system,KS,KS_ci_low,KS_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,ISS,contradiction_F1,contradiction_resolved,acc_partition_updated,conflict_visible_rate,acc_given_answered,ECE_recal,storage_per_claim,messages_per_claim,RE,CE,n_seeds
50% random churn,B0,0.21944999999999998,0.21839068877538206,0.2205093112246179,0.08087715171213002,0.08015948303668667,0.08159482038757336,0.14180799474318823,0.00030632788813433757,0.12684834700974487,nan,nan,0.8764332586615059,0.007151924004760651,0.0,0.0,nan,nan,30
50% random churn,B1,0.7301099999999999,0.6060999178814612,0.8541200821185386,0.49908919499467796,0.4143143858231487,0.5838640041662072,0.8333333333333334,0.7810322261943177,0.4255438051168921,nan,nan,0.876132,0.007129471927601042,36.327855,42.47507333333335,0.020089276989258508,0.017676259408756657,30
50% random churn,B2,0.8763216666666668,0.8753518056086687,0.8772915277246649,0.6047934977846232,0.6035151717987708,0.6060718237704756,0.9999891221523285,0.8996389149082695,0.5125622196590914,nan,nan,0.8763245927296367,0.006228417355762564,193.74856,209.46214666666668,0.004523401244155726,0.004184004170234548,30
50% random churn,B3,0.8204833333333335,0.819336233179665,0.8216304334870019,0.5616496378898568,0.5602390196693335,0.56306025611038,0.6223946313063303,0.45924371143006554,0.4741713687670795,nan,nan,0.8755708702338679,0.006188294301761212,4.0,8.0,0.20512083333333336,0.10256041666666668,30
50% random churn,B4,0.8640083333333333,0.8629596728110888,0.8650569938555778,0.5861531028838629,0.5848859711059248,0.587420234661801,0.9599518279234568,0.8963802161206001,0.5116597490599353,nan,nan,0.876241815378091,0.006853975459408772,48.43714,99.58818833333336,0.017839399952831122,0.008676459989763245,30
50% random churn,B5,0.8200483333333335,0.8190531748360115,0.8210434918306555,0.5506608100183817,0.5494242765383188,0.5518973434984447,0.5302808185418447,0.0,0.4679296869208738,nan,nan,0.874821154627467,0.00414450146624746,4.0,8.0,0.20501208333333337,0.10250604166666669,30
50% random churn,B6,0.8209416666666667,0.8198845467353535,0.8219987865979799,0.5737101341921693,0.5721948903788052,0.5752253780055334,0.6863037645816803,0.6375510475311422,0.47714078125674,nan,nan,0.8759736358725061,0.006448373072234152,4.0,8.0,0.20523541666666667,0.10261770833333334,30
50% random churn,B7,0.88126,0.8804980444820716,0.8820219555179285,0.7630350097578542,0.7615909842926087,0.7644790352230997,0.686383706331253,0.4857895610937752,0.6299855983960243,nan,nan,0.9401800869519923,0.0039043116936072803,4.0,14.516543333333335,0.220315,0.06070731602613273,30
50% random churn,B3Q,0.8985133333333334,0.8978079747383739,0.8992186919282928,0.8074983595203894,0.8061985112183138,0.808798207822465,0.6281049231688182,0.29776225566176945,0.6991127288544159,nan,nan,0.9583209471138581,0.0029951421291233757,4.0,15.680746666666666,0.22462833333333335,0.05730042541533446,30
90% random churn,B0,0.04393333333333333,0.043151493375214664,0.044715173291452,0.018261224950005026,0.017868475613640415,0.018653974286369637,0.028358845909436544,0.00018605998503091095,0.02574976672551073,nan,nan,0.8747083808968912,0.01870285527470793,0.0,0.0,nan,nan,30
90% random churn,B1,0.20437333333333332,0.06367697262469763,0.345069694041969,0.13966297166408675,0.04351447721701297,0.23581146611116055,0.23333333333333334,0.21826853346321815,0.11839432219832108,nan,nan,0.8758857142857143,0.00582442113579811,36.327855,46.768950000000004,0.005627129150973598,0.004951187595490154,30
90% random churn,B2,0.8427316666666667,0.8417055845554877,0.8437577487778456,0.5748000619922756,0.5733962518869035,0.5762038720976478,0.8951780180136363,0.8684940316380058,0.5088304369536999,nan,nan,0.8761770355739079,0.00729214264559902,193.74856,251.03199500000002,0.004350005569164026,0.0033572690285364184,30
90% random churn,B3,0.30126000000000003,0.30006669685490694,0.3024533031450931,0.17375999306843776,0.1728046135897664,0.17471537254710912,0.20038047879934312,0.03618019678564833,0.1734878492115328,nan,nan,0.8756235565377956,0.008786867000598896,4.0,8.0,0.07531500000000001,0.037657500000000003,30
90% random churn,B4,0.6692466666666667,0.6675195706601142,0.6709737626732191,0.4306379105993878,0.4290485827892564,0.43222723840951915,0.5276547431945801,0.6388230105623882,0.4598833987774758,nan,nan,0.8760887251410969,0.007040361406267255,48.43714,118.79509000000003,0.013817854055805474,0.005633979815279845,30
90% random churn,B5,0.3011683333333333,0.29993594205754337,0.30240072460912326,0.16886084710342564,0.16794609483332307,0.1697755993735282,0.19456680963436762,0.0,0.1712712125773394,nan,nan,0.8751062393312673,0.007048796579831917,4.0,8.0,0.07529208333333333,0.037646041666666664,30
90% random churn,B6,0.3000166666666667,0.29843403779621874,0.3015992955371147,0.1768492429138609,0.17546148787717766,0.17823699795054412,0.202969957391421,0.05844589566467999,0.17176702678923617,nan,nan,0.8748195665179679,0.008323774177563059,4.0,8.0,0.07500416666666668,0.03750208333333334,30
90% random churn,B7,0.32196333333333343,0.3208975746918092,0.3230290919748577,0.236915526949426,0.23564966205007626,0.23818139184877574,0.20316210985183716,0.04049822243840203,0.2263851431929257,nan,nan,0.9385396630878128,0.0040339370333211865,4.0,14.516543333333335,0.08049083333333336,0.02217902922806095,30
90% random churn,B3Q,0.32782,0.3264553656704233,0.3291846343295767,0.2507352067270317,0.24932741990474064,0.25214299354932274,0.1997203215956688,0.02444531334795297,0.25167031676191753,nan,nan,0.9561103283515594,0.004903138056167085,4.0,15.680746666666666,0.081955,0.02090590161800998,30
"50% loss, whole organisations",B0,0.22066499999999994,0.21778667182883832,0.22354332817116157,0.08345127805186738,0.08223168942839926,0.0846708666753355,0.14229462295770645,0.0003398683741671661,0.12607203627478333,nan,nan,0.8759775350374426,0.010790644048058212,0.0,0.0,nan,nan,30
"50% loss, whole organisations",B1,0.7885133333333333,0.688686493573121,0.8883401730935456,0.5388735543746711,0.4706420316255468,0.6071050771237954,0.9,0.8428775309803885,0.4602634959032994,nan,nan,0.8761259259259258,0.006909249162320528,36.327855,41.997961666666676,0.021697397954622735,0.01909147789122206,30
"50% loss, whole organisations",B2,0.8765416666666668,0.8755107624940823,0.8775725708392512,0.6051349968606016,0.6035938292405587,0.6066761644806444,0.9999942978223165,0.8993757318530533,0.5145765802426789,nan,nan,0.8765416666666668,0.006374251342612736,193.74856,209.47239,0.004524547493159687,0.004184860274760093,30
"50% loss, whole organisations",B3,0.8200783333333335,0.8191867482939686,0.8209699183726983,0.5608249161803767,0.5594905461430162,0.5621592862177371,0.6219076077143352,0.46155935282646765,0.47261309325094847,nan,nan,0.8754002346532286,0.004844023013718796,4.0,8.0,0.20501958333333337,0.10250979166666668,30
"50% loss, whole organisations",B4,0.78664,0.7847560725345168,0.7885239274654832,0.4942956735576142,0.49252954312910463,0.4960618039861238,0.7495012601216634,0.77196972468531,0.5045460718802635,nan,nan,0.876435627131808,0.00753849838042933,48.43714,102.56535333333335,0.016242147839193612,0.007670648754101128,30
"50% loss, whole organisations",B5,0.8199999999999998,0.8190053306004198,0.8209946693995799,0.5503574689973278,0.5490612576579622,0.5516536803366935,0.5301117261250814,0.0,0.46861106287120724,nan,nan,0.875021982031597,0.0029119876798517166,4.0,8.0,0.20499999999999996,0.10249999999999998,30
"50% loss, whole organisations",B6,0.82226,0.8209999185883138,0.8235200814116862,0.5750429681379015,0.5733084628345817,0.5767774734412212,0.68690984249115,0.6391241584743315,0.47742723451238206,nan,nan,0.8760074859519025,0.006280906705570774,4.0,8.0,0.205565,0.1027825,30
"50% loss, whole organisations",B7,0.8830899999999999,0.8822188070051776,0.8839611929948222,0.7636863844491971,0.7621393427493222,0.7652334261490721,0.6874769926071167,0.48937323660104964,0.6328707165323167,nan,nan,0.9404044215809745,0.0036965660229729197,4.0,14.516543333333335,0.22077249999999998,0.0608333731760971,30
"50% loss, whole organisations",B3Q,0.8984349999999999,0.8977978253439683,0.8990721746560314,0.8055254980474393,0.8038936317974202,0.8071573642974584,0.6282166123390198,0.29823099469258174,0.7014094342302019,nan,nan,0.9584099363862392,0.0036248892615676678,4.0,15.680746666666666,0.22460874999999997,0.05729542435129984,30
"70% loss, whole failure domains",B0,0.132205,0.1297994175367283,0.13461058246327168,0.04981287965143114,0.04884484809696504,0.05078091120589724,0.08544487530986468,0.00018600464611758522,0.07637450724909321,nan,nan,0.8756092041053763,0.01011498999196685,0.0,0.0,nan,nan,30
"70% loss, whole failure domains",B1,0.6719566666666666,0.5311656083675446,0.8127477249657887,0.45961441831665445,0.36330960331006734,0.5559192333232416,0.7666666666666667,0.7188705993553522,0.3922492993166411,nan,nan,0.8764652173913045,0.007218185755723667,36.327855,42.95488833333334,0.018500257019870216,0.01627831500811982,30
"70% loss, whole failure domains",B2,0.8757499999999999,0.8747299508115335,0.8767700491884663,0.6042352877724554,0.6027904200964126,0.6056801554484982,0.9982350111007691,0.8989072573014077,0.5118440052380374,nan,nan,0.8762495348472619,0.006582342027724241,193.74856,218.315795,0.004520455303217514,0.004011686037382111,30
"70% loss, whole failure domains",B3,0.6654283333333334,0.6642002195218927,0.6666564471447741,0.4305596375995843,0.4291674531527822,0.43195182204638644,0.47078814506530764,0.23773212138280256,0.3847922233547314,nan,nan,0.8758498202435584,0.005130662639440657,4.0,8.0,0.16635708333333335,0.08317854166666667,30
"70% loss, whole failure domains",B4,0.7628266666666665,0.7604884056727929,0.7651649276605402,0.4896260649728414,0.48725219220198246,0.4919999377437003,0.6959349652131398,0.7468128866113108,0.4944975818267427,nan,nan,0.8762666476240185,0.00717437297888754,48.43714,107.30655166666666,0.01575031884318743,0.007109726458444674,30
"70% loss, whole failure domains",B5,0.6650283333333333,0.6636252888415956,0.6664313778250711,0.42092069883917094,0.41963940828492097,0.4222019893934209,0.42998423874378205,0.0,0.38096594830739583,nan,nan,0.8747004759481961,0.004953224141645897,4.0,8.0,0.16625708333333333,0.08312854166666667,30
"70% loss, whole failure domains",B6,0.66687,0.6653997955515222,0.6683402044484777,0.4421086484929409,0.4405091580785537,0.44370813890732813,0.4988520075877508,0.3587751757024098,0.3869876254758671,nan,nan,0.8752735494098901,0.006598235276269211,4.0,8.0,0.1667175,0.08335875,30
"70% loss, whole failure domains",B7,0.7161666666666666,0.7149911852716051,0.7173421480617281,0.5860768820121879,0.584327413802984,0.5878263502213917,0.4992884129285812,0.26220579834709745,0.5056977343914318,nan,nan,0.9391667092464705,0.004420624222815375,4.0,14.516543333333335,0.17904166666666665,0.049334551000433706,30
"70% loss, whole failure domains",B3Q,0.7271416666666667,0.7256448740756424,0.728638459257691,0.6173199444961054,0.6152725118388278,0.619367377153383,0.4734309176603953,0.1509556309143004,0.5640524967138199,nan,nan,0.9568456938964136,0.0036668411231816416,4.0,15.680746666666666,0.18178541666666667,0.046371645838285715,30
50% targeted lineage attack,B0,0.11058500000000002,0.10910013149849679,0.11206986850150324,0.04118010051358244,0.040559157058283606,0.04180104396888127,0.0674396075308323,6.107865520637479e-05,0.06861577996871812,nan,nan,0.8759328725773439,0.013760354493129142,0.0,0.0,nan,nan,30
50% targeted lineage attack,B1,0.8761183333333332,0.8751681445178383,0.8770685221488281,0.6000875610286395,0.5977137555277116,0.6024613665295674,1.0,0.9368196753718291,0.5106389837037567,nan,nan,0.8761183333333332,0.007240512805269278,36.327855,41.28636166666668,0.02411923731018355,0.02122217438778503,30
50% targeted lineage attack,B2,0.8704216666666666,0.869468053306978,0.8713752800263553,0.5966950375202521,0.5953538759737657,0.5980361990667385,0.992982131242752,0.8952136387734055,0.5131046939977382,nan,nan,0.8763767167005805,0.005812582592591024,193.74856,210.08910166666666,0.004492959880495693,0.004143439694797421,30
