system,quantity,n_points,loglog_slope,r2,stderr,classification,values
B1,storage_per_claim,4,0.0014634227195525565,0.9093054563573292,0.0003268063426258312,approximately constant,100:36.02;1000:36.1;10000:36.33;100000:36.35
B1,messages_per_claim,4,0.0005587757505530678,0.08130963058792046,0.001328116403322662,approximately constant,100:41.92;1000:42.23;10000:42.48;100000:42.02
B1,mean_probe_rounds,4,-0.004681327741249336,0.16557326922786428,0.007431098904085884,approximately constant,100:1.785;1000:1.849;10000:1.849;100000:1.722
B1,eval_seconds,4,0.6425498026651967,0.8680274092387754,0.17716052087447942,sub-linear (near sqrt),100:0.004047;1000:0.003814;10000:0.02589;100000:0.2963
B1,knowledge_survival,4,0.005167915228774405,0.17457192741302055,0.007946077515910591,varies with N,100:0.7579;1000:0.7301;10000:0.7301;100000:0.7885
B2,storage_per_claim,4,0.001463422719552595,0.9093054563573484,0.0003268063426258018,approximately constant,100:192.1;1000:192.5;10000:193.7;100000:193.9
B2,messages_per_claim,4,0.0013732918185730533,0.9151893651656622,0.0002956089028270079,approximately constant,100:207.8;1000:208.3;10000:209.5;100000:209.6
B2,mean_probe_rounds,4,0.0002757139884451366,0.5077194894185132,0.00019197214025932555,approximately constant,100:4.263;1000:4.274;10000:4.271;100000:4.273
B2,eval_seconds,4,0.8101323732651096,0.8671529419913085,0.224217295029732,sub-linear (near sqrt),100:0.01244;1000:0.01256;10000:0.1174;100000:2.963
B2,knowledge_survival,4,0.0003931933337684987,0.6267922785921783,0.00021453820351744033,flat in N,100:0.8738;1000:0.8764;10000:0.8763;100000:0.8765
B3,storage_per_claim,4,0.0,nan,nan,approximately constant,100:4;1000:4;10000:4;100000:4
B3,messages_per_claim,4,0.0,nan,nan,approximately constant,100:8;1000:8;10000:8;100000:8
B3,mean_probe_rounds,4,0.0,nan,nan,approximately constant,100:1;1000:1;10000:1;100000:1
B3,eval_seconds,4,0.6149297288488458,0.8741064710668659,0.16501750930261266,sub-linear (near sqrt),100:0.004087;1000:0.004059;10000:0.02454;100000:0.2516
B3,knowledge_survival,4,0.00031396537353398996,0.9244527391012608,6.346492340529235e-05,flat in N,100:0.8192;1000:0.8202;10000:0.8205;100000:0.821
B4,storage_per_claim,4,0.0014634227195525374,0.9093054563573412,0.00032680634262580323,approximately constant,100:48.02;1000:48.13;10000:48.44;100000:48.46
B4,messages_per_claim,4,0.0012584898722015228,0.8961030115680257,0.00030301019313254613,approximately constant,100:98.88;1000:99.01;10000:99.59;100000:99.64
B4,mean_probe_rounds,4,-0.00016708366054768786,0.06821888916252768,0.0004366400951861198,approximately constant,100:3.322;1000:3.307;10000:3.313;100000:3.316
B4,eval_seconds,4,0.6991595015631615,0.8738388846314047,0.18784876450546734,sub-linear (near sqrt),100:0.006262;1000:0.006175;10000:0.04822;100000:0.6756
B4,knowledge_survival,4,0.0008202971077801446,0.607718971177307,0.0004660188011776785,flat in N,100:0.8587;1000:0.8641;10000:0.864;100000:0.8642
B5,storage_per_claim,4,0.0,nan,nan,approximately constant,100:4;1000:4;10000:4;100000:4
B5,messages_per_claim,4,0.0,nan,nan,approximately constant,100:8;1000:8;10000:8;100000:8
B5,mean_probe_rounds,4,0.0,nan,nan,approximately constant,100:1;1000:1;10000:1;100000:1
B5,eval_seconds,4,0.6208818173045988,0.8773110787159946,0.16417983351773444,sub-linear (near sqrt),100:0.003836;1000:0.003809;10000:0.02437;100000:0.2425
B5,knowledge_survival,4,0.000216161061707668,0.9186490407445075,4.5485083171259406e-05,flat in N,100:0.8191;1000:0.8198;10000:0.82;100000:0.8204
B6,storage_per_claim,4,0.0,nan,nan,approximately constant,100:4;1000:4;10000:4;100000:4
B6,messages_per_claim,4,0.0,nan,nan,approximately constant,100:8;1000:8;10000:8;100000:8
B6,mean_probe_rounds,4,0.0,nan,nan,approximately constant,100:1;1000:1;10000:1;100000:1
B6,eval_seconds,4,0.6293400472502362,0.8711363030558733,0.17115618890025985,sub-linear (near sqrt),100:0.003912;1000:0.003848;10000:0.0239;100000:0.2666
B6,knowledge_survival,4,-6.780861036894378e-05,0.0816283530548822,0.00016082685264468856,flat in N,100:0.8218;1000:0.8204;10000:0.8209;100000:0.8212
B7,storage_per_claim,4,0.0,nan,nan,approximately constant,100:4;1000:4;10000:4;100000:4
B7,messages_per_claim,4,0.00012857937821210885,0.9754734201350056,1.4416741096337396e-05,approximately constant,100:14.51;1000:14.51;10000:14.52;100000:14.52
B7,mean_probe_rounds,4,0.0,nan,nan,approximately constant,100:1;1000:1;10000:1;100000:1
B7,eval_seconds,4,0.6257379879968025,0.8746655667502918,0.16749109020585717,sub-linear (near sqrt),100:0.003885;1000:0.003773;10000:0.02487;100000:0.2525
B7,knowledge_survival,4,-0.00012722227698405095,0.1945468744058637,0.0001830442846230036,flat in N,100:0.8826;1000:0.8808;10000:0.8813;100000:0.8816
