strategy,mix,equalize_storage,condition,system,accuracy_macro,acc_ci_low,acc_ci_high,acc_revision_sensitive,knowledge_survival,iss,contradiction_f1,storage_per_claim,messages_per_claim,n_seeds
hybrid,,True,correlated_org|0.5|none|0.0|0|post_failure,B3,0.5626755413368676,0.5611145388456362,0.564236543828099,0.08272918309550491,0.8210266666666667,0.6220267097155253,0.45794556065792147,4.0,8.0,15
hybrid,,True,correlated_org|0.5|none|0.0|0|post_failure,B3Q,0.806607616573946,0.8039568740241775,0.8092583591237145,0.6777817690553853,0.8986833333333334,0.6286502083142599,0.2963136342239727,4.0,15.68082,15
hybrid,,True,correlated_org|0.5|none|0.0|0|post_failure,B6,0.5760815228311722,0.5736536110926442,0.5785094345697002,0.14178102828895156,0.8230966666666666,0.6875668327013652,0.640266232098795,4.0,8.0,15
hybrid,,True,correlated_org|0.5|none|0.0|0|post_failure,B7,0.7648125318617505,0.7622722610662096,0.7673528026572913,0.5930835323689545,0.8838566666666666,0.6883664727210999,0.49159007423588197,4.0,14.515566666666667,15
hybrid,,True,random|0.3|node_coordinated|0.2|0|post_failure,B3,0.499793919717396,0.49621969090148,0.503368148533312,0.0682768299103315,0.75243,0.706067955493927,0.5399097222648485,4.0,8.0,15
hybrid,,True,random|0.3|node_coordinated|0.2|0|post_failure,B3Q,0.6029465074406587,0.5994179446943467,0.6064750701869707,0.49691399296993527,0.7241233333333333,0.714671540260315,0.554278931223479,4.0,15.68082,15
hybrid,,True,random|0.3|node_coordinated|0.2|0|post_failure,B6,0.5097732621679713,0.505687830659618,0.5138586936763245,0.11867121716260162,0.7523466666666665,0.8100167473157247,0.5560980740055423,4.0,8.0,15
hybrid,,True,random|0.3|node_coordinated|0.2|0|post_failure,B7,0.5927006349608323,0.5877147111407093,0.5976865587809552,0.4443992929343413,0.7355266666666667,0.8100269198417663,0.5745497589491019,4.0,14.515566666666667,15
hybrid,,True,random|0.3|root|0.2|0|post_failure,B3,0.45823520280013746,0.4559515919780674,0.46051881362220753,0.06620035831345335,0.7030133333333332,0.7059718847274781,0.6276397297032829,4.0,8.0,15
hybrid,,True,random|0.3|root|0.2|0|post_failure,B3Q,0.6675271539555426,0.6646190785869537,0.6704352293241316,0.5837538170978523,0.7703233333333335,0.7151379227638245,0.6097243145612574,4.0,15.68082,15
