system,budget_k,storage_per_claim,messages_per_claim,knowledge_survival,ks_ci_low,ks_ci_high,accuracy_macro,iss,n_seeds
B3,1,1.0,2.0,0.2053866666666666,0.20418854127029626,0.20658479206303695,0.11523895908240041,0.1326071262359619,15
B3,2,2.0,4.0,0.43549333333333334,0.43382554481610985,0.43716112185055683,0.26125797825979274,0.2965648531913757,15
B3,4,4.0,8.0,0.6791533333333334,0.6775743459452962,0.6807323207213706,0.44212502272297094,0.5041407962640126,15
B3,8,8.0,16.0,0.8293366666666667,0.8280602003563671,0.8306131329769664,0.5666105251320063,0.688773496945699,15
B3,16,16.0,30.936253333333337,0.8748466666666667,0.873313429302004,0.8763799040313294,0.6060306501417265,0.8130227526028951,15
B3,32,32.0,49.35039333333332,0.8772300000000001,0.8759322036022172,0.8785277963977829,0.6062414941873082,0.8922753691673279,15
B5,1,1.0,2.0,0.2065766666666667,0.2051552520907889,0.20799808124254449,0.11282232201888151,0.13306484520435333,15
B5,2,2.0,4.0,0.43794666666666665,0.4366311558685594,0.4392621774647739,0.2559104969638701,0.2828465123971303,15
B5,4,4.0,8.0,0.6769466666666666,0.6759763366818825,0.6779169966514507,0.43033796802741175,0.43694382111231483,15
B5,8,8.0,16.0,0.8259466666666667,0.8246499397021085,0.8272433936312249,0.5570721513483832,0.5334376811981201,15
B5,16,16.0,30.975986666666664,0.87181,0.8704698780914235,0.8731501219085764,0.5982904585938661,0.5633804082870484,15
B5,32,32.0,49.69104,0.8758533333333335,0.8744506274311208,0.8772560392355462,0.6017307454848128,0.5660060962041219,15
B6,1,1.0,2.0,0.20545666666666668,0.2041578551229432,0.20675547821039014,0.11856071588938774,0.1326860119899114,15
B6,2,2.0,4.0,0.4380133333333333,0.43677541760381905,0.43925124906284757,0.26952219243693826,0.315003369251887,15
B6,4,4.0,8.0,0.6788500000000002,0.6773693646755181,0.6803306353244822,0.4518455578193294,0.5500710725784301,15
B6,8,8.0,16.0,0.82859,0.827339902017189,0.8298400979828111,0.5783504977978821,0.7726158777872721,15
B6,16,16.0,30.961063333333332,0.87322,0.8719258376387136,0.8745141623612864,0.6158295113491827,0.9176032145818075,15
B6,32,32.0,49.61829666666667,0.8764000000000001,0.8750341837218182,0.877765816278182,0.6176012848109417,0.9822424650192261,15
