n_agents,regime,severity,corruption_type,corruption_level,partition_parts,phase,metric,system,baseline,mean_system,mean_baseline,mean_diff,ci_low,ci_high,cohens_dz,p_paired_t,n_pairs
100,correlated_domain,0.1,none,0.0,0,post_failure,iss,B6,B2,0.8983091115951538,1.0,-0.10169088840484619,-0.1035018828511238,-0.09973393470048904,-18.883763721393535,8.520100892832333e-39,30
100,correlated_domain,0.1,none,0.0,0,post_failure,iss,B6,B4,0.8983091115951538,0.9948684970537821,-0.09655938545862834,-0.09818649888038634,-0.09485732634862264,-20.191277542789074,1.2283660441137255e-39,30
100,correlated_domain,0.1,none,0.0,0,post_failure,iss,B7,B2,0.8986419260501861,1.0,-0.10135807394981385,-0.10330082630117735,-0.09940629854798318,-18.158332512707727,2.64525407203818e-38,30
100,correlated_domain,0.1,none,0.0,0,post_failure,knowledge_survival,B7,B3Q,0.9433666666666667,0.9625666666666668,-0.01920000000000001,-0.020950000000000014,-0.017466666666666675,-3.8822656356217347,3.098707854025373e-19,30
100,correlated_domain,0.1,none,0.0,0,post_failure,accuracy_macro,B7,B3Q,0.8389045277782411,0.8913036213460469,-0.05239909356780587,-0.05763791429960109,-0.047020587371395584,-3.490597109884174,5.54770316848096e-18,30
100,correlated_domain,0.3,none,0.0,0,post_failure,iss,B6,B2,0.8186719874540965,1.0,-0.18132801254590353,-0.18457016974687576,-0.17789076521992683,-19.44661909622024,3.643122548583369e-39,30
100,correlated_domain,0.3,none,0.0,0,post_failure,iss,B6,B4,0.8186719874540965,0.9538978298505147,-0.13522584239641824,-0.14281204005082448,-0.12653488253553707,-5.825298136450294,3.873512925684231e-24,30
100,correlated_domain,0.3,none,0.0,0,post_failure,iss,B7,B2,0.8186740438143413,1.0,-0.18132595618565878,-0.1843635237713655,-0.17800246636072797,-20.265693257600713,1.1043358053856039e-39,30
100,correlated_domain,0.3,none,0.0,0,post_failure,knowledge_survival,B7,B3Q,0.9388000000000001,0.9521833333333335,-0.013383333333333313,-0.014933333333333314,-0.01179999999999998,-2.9751085970730684,3.8922995112739654e-16,30
100,correlated_domain,0.3,none,0.0,0,post_failure,accuracy_macro,B7,B3Q,0.8304550490791051,0.8746760986565268,-0.04422104957742195,-0.04844293283202875,-0.04000708590753362,-3.666903824843538,1.4645731428998472e-18,30
100,correlated_domain,0.5,none,0.0,0,post_failure,knowledge_survival,B6,B2,0.84855,0.87465,-0.026099999999999998,-0.029716666666666655,-0.02226666666666666,-2.4555812200492046,5.404621231192559e-14,30
100,correlated_domain,0.5,none,0.0,0,post_failure,iss,B6,B2,0.7083533048629761,0.9999562482039134,-0.2916029433409373,-0.2980066788693269,-0.2849353666603565,-15.463746017507212,2.746618333351963e-36,30
100,correlated_domain,0.5,none,0.0,0,post_failure,iss,B6,B4,0.7083533048629761,0.8665039420127869,-0.15815063714981079,-0.17421263893445332,-0.14102622191111247,-3.3563258596935532,1.5910769984010442e-17,30
100,correlated_domain,0.5,none,0.0,0,post_failure,iss,B7,B2,0.706259963909785,0.9999562482039134,-0.2936962842941284,-0.29973127057154975,-0.28757020831108093,-16.89296369580731,2.1351710356397654e-37,30
100,correlated_domain,0.5,none,0.0,0,post_failure,accuracy_macro,B7,B3Q,0.7942865714583327,0.8083641850805491,-0.014077613622216267,-0.021140976547252333,-0.0069400340795282706,-0.6949175158485791,0.000675295940047144,30
100,correlated_domain,0.7,none,0.0,0,post_failure,knowledge_survival,B6,B2,0.7175666666666667,0.8735499999999998,-0.15598333333333333,-0.16151708333333334,-0.15016666666666667,-9.556990597355833,2.8842792850094677e-30,30
100,correlated_domain,0.7,none,0.0,0,post_failure,accuracy_macro,B6,B2,0.4843021204289387,0.601076337235766,-0.11677421680682731,-0.12250663278309024,-0.11068994278387057,-6.858058851941543,3.79918554782852e-26,30
100,correlated_domain,0.7,none,0.0,0,post_failure,iss,B6,B2,0.5303680171569188,0.9980591873327891,-0.46769117017587025,-0.4737440342952808,-0.46134655783573786,-26.36015200872178,5.464483941579999e-43,30
100,correlated_domain,0.7,none,0.0,0,post_failure,knowledge_survival,B6,B4,0.7175666666666667,0.7777999999999999,-0.06023333333333332,-0.0699333333333333,-0.050733333333333325,-2.2134290370387473,7.063165210920911e-13,30
100,correlated_domain,0.7,none,0.0,0,post_failure,accuracy_macro,B6,B4,0.4843021204289387,0.5012460521385649,-0.016943931709626128,-0.025651535204318173,-0.007993904819863637,-0.6799686642166634,0.0008409866013112129,30
100,correlated_domain,0.7,none,0.0,0,post_failure,iss,B6,B4,0.5303680171569188,0.7357365210851033,-0.2053685039281845,-0.22267571315169335,-0.187496823122104,-4.172459486854319,4.293406735830034e-20,30
100,correlated_domain,0.7,none,0.0,0,post_failure,knowledge_survival,B7,B2,0.7701000000000001,0.8735499999999998,-0.10345000000000001,-0.11081708333333336,-0.09551666666666667,-4.756952526392257,1.1377255260248786e-21,30
