  seed 500 base                     found=0.500 AP=0.2126 cov=0.900 rare=0.125 decoy=0.400 cu=1.44e+06 calls=2.74e+04 (7s)
  seed 500 modal                    found=0.525 AP=0.1692 cov=0.900 rare=0.188 decoy=0.350 cu=1.44e+06 calls=2.74e+04 (8s)
  seed 500 hybrid                   found=0.475 AP=0.1965 cov=0.875 rare=0.125 decoy=0.375 cu=1.39e+06 calls=2.72e+04 (7s)
  seed 500 span2                    found=0.525 AP=0.1974 cov=0.675 rare=0.125 decoy=0.375 cu=7.08e+05 calls=2.71e+04 (6s)
  seed 500 span2_modal              found=0.550 AP=0.2199 cov=0.675 rare=0.188 decoy=0.225 cu=7.09e+05 calls=2.70e+04 (6s)
  seed 500 span2_hybrid             found=0.475 AP=0.1835 cov=0.675 rare=0.125 decoy=0.325 cu=7.10e+05 calls=2.70e+04 (6s)
  seed 501 base                     found=0.550 AP=0.2241 cov=0.925 rare=0.214 decoy=0.475 cu=1.38e+06 calls=2.67e+04 (7s)
  seed 501 modal                    found=0.650 AP=0.3030 cov=0.925 rare=0.286 decoy=0.425 cu=1.38e+06 calls=2.67e+04 (7s)
  seed 501 hybrid                   found=0.800 AP=0.2384 cov=0.950 rare=0.643 decoy=0.300 cu=1.38e+06 calls=2.66e+04 (7s)
  seed 501 span2                    found=0.625 AP=0.3251 cov=0.775 rare=0.071 decoy=0.450 cu=7.47e+05 calls=2.65e+04 (7s)
  seed 501 span2_modal              found=0.550 AP=0.2449 cov=0.775 rare=0.071 decoy=0.400 cu=7.45e+05 calls=2.64e+04 (6s)
  seed 501 span2_hybrid             found=0.675 AP=0.2750 cov=0.775 rare=0.286 decoy=0.475 cu=7.48e+05 calls=2.64e+04 (7s)
  seed 502 base                     found=0.575 AP=0.1969 cov=0.950 rare=0.222 decoy=0.525 cu=1.36e+06 calls=2.61e+04 (8s)
  seed 502 modal                    found=0.575 AP=0.2404 cov=0.925 rare=0.222 decoy=0.350 cu=1.36e+06 calls=2.60e+04 (7s)
  seed 502 hybrid                   found=0.600 AP=0.1469 cov=0.925 rare=0.333 decoy=0.425 cu=1.34e+06 calls=2.59e+04 (8s)
  seed 502 span2                    found=0.500 AP=0.1306 cov=0.800 rare=0.167 decoy=0.550 cu=7.32e+05 calls=2.58e+04 (7s)
  seed 502 span2_modal              found=0.650 AP=0.2363 cov=0.800 rare=0.333 decoy=0.475 cu=7.30e+05 calls=2.57e+04 (6s)
  seed 502 span2_hybrid             found=0.650 AP=0.2047 cov=0.825 rare=0.444 decoy=0.475 cu=7.35e+05 calls=2.56e+04 (6s)

**modal vs base** — 3 paired seeds

| metric | base | variant | Δ | 95% CI | better on | sign p | verdict |
|---|---:|---:|---:|---|---:|---:|---|
| found | 0.5417 | 0.5833 | +0.0417 | [+0.0000, +0.1000] | 2/2 | 0.500 | inside noise |
| AP | 0.2112 | 0.2375 | +0.0264 | [-0.0433, +0.0789] | 2/3 | 1.000 | inside noise |
| R@100 | 0.4000 | 0.4000 | -0.0000 | [-0.0500, +0.0750] | 1/3 | 1.000 | same |
| rare recall | 0.1872 | 0.2318 | +0.0446 | [+0.0000, +0.0714] | 2/2 | 0.500 | inside noise |
| evidence cov. | 0.9250 | 0.9167 | -0.0083 | [-0.0250, +0.0000] | 0/1 | 1.000 | inside noise |
| FDR | 0.9638 | 0.9611 | -0.0028 | [-0.0067, -0.0001] | 3/3 | 0.250 | **better** |
| decoy acc. | 0.4667 | 0.3750 | -0.0917 | [-0.1750, -0.0500] | 3/3 | 0.250 | **better** |
| indep. acc. | 0.7651 | 0.7939 | +0.0288 | [+0.0048, +0.0440] | 3/3 | 0.250 | **better** |
| lineage | 0.5320 | 0.5321 | +0.0001 | [-0.0163, +0.0084] | 2/3 | 1.000 | inside noise |
| contra F1 | 0.0513 | 0.3630 | +0.3117 | [+0.1538, +0.5714] | 3/3 | 0.250 | **better** |
| compute | 1.39e+06 | 1.39e+06 | -3.60e+03 | [-5.37e+03, -8.86e+02] | 3/3 | 0.250 | **better** |
| calls | 2.67e+04 | 2.67e+04 | -6.13e+01 | [-1.25e+02, -2.70e+01] | 3/3 | 0.250 | **better** |
| raw text out | 0.0000 | 0.0000 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
| claims out | 0.1393 | 0.1393 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |

**hybrid vs base** — 3 paired seeds

| metric | base | variant | Δ | 95% CI | better on | sign p | verdict |
|---|---:|---:|---:|---|---:|---:|---|
| found | 0.5417 | 0.6250 | +0.0833 | [-0.0250, +0.2500] | 2/3 | 1.000 | inside noise |
| AP | 0.2112 | 0.1939 | -0.0173 | [-0.0500, +0.0143] | 1/3 | 1.000 | inside noise |
| R@100 | 0.4000 | 0.3667 | -0.0333 | [-0.0500, -0.0250] | 0/3 | 0.250 | **worse** |
| rare recall | 0.1872 | 0.3671 | +0.1799 | [+0.0000, +0.4286] | 2/2 | 0.500 | inside noise |
| evidence cov. | 0.9250 | 0.9167 | -0.0083 | [-0.0250, +0.0250] | 1/3 | 1.000 | inside noise |
| FDR | 0.9638 | 0.9583 | -0.0055 | [-0.0167, +0.0017] | 2/3 | 1.000 | inside noise |
| decoy acc. | 0.4667 | 0.3667 | -0.1000 | [-0.1750, -0.0250] | 3/3 | 0.250 | **better** |
