=== e3c ===
  0 q=0.10 H_mycelic_full   AP=0.0010 found=0.07 cu=1.92e+05
  0 q=0.10 B2_map_reduce    AP=0.0007 found=0.07 cu=8.96e+04
  0 q=0.10 E_hier_lineage   AP=0.0000 found=0.00 cu=1.05e+05
  0 q=0.28 H_mycelic_full   AP=0.0019 found=0.10 cu=3.72e+05
  0 q=0.28 B2_map_reduce    AP=0.0047 found=0.10 cu=1.76e+05
  0 q=0.28 E_hier_lineage   AP=0.0000 found=0.00 cu=2.09e+05
  0 q=0.44 H_mycelic_full   AP=0.0175 found=0.30 cu=6.79e+05
  0 q=0.44 B2_map_reduce    AP=0.0160 found=0.20 cu=3.22e+05
  0 q=0.44 E_hier_lineage   AP=0.0031 found=0.05 cu=3.87e+05
  0 q=0.58 H_mycelic_full   AP=0.0174 found=0.35 cu=1.13e+06
  0 q=0.58 B2_map_reduce    AP=0.0650 found=0.38 cu=5.46e+05
  0 q=0.58 E_hier_lineage   AP=0.0018 found=0.05 cu=6.62e+05
  0 q=0.72 H_mycelic_full   AP=0.0213 found=0.50 cu=1.90e+06
  0 q=0.72 B2_map_reduce    AP=0.0465 found=0.60 cu=9.27e+05
  0 q=0.72 E_hier_lineage   AP=0.0156 found=0.20 cu=1.13e+06
  0 q=0.88 H_mycelic_full   AP=0.0606 found=0.60 cu=3.61e+06
  0 q=0.88 B2_map_reduce    AP=0.1619 found=0.62 cu=1.69e+06
  0 q=0.88 E_hier_lineage   AP=0.0964 found=0.33 cu=2.07e+06
  0 q=1.00 H_mycelic_full   AP=0.0737 found=0.70 cu=5.60e+06
  0 q=1.00 B2_map_reduce    AP=0.0866 found=0.57 cu=2.65e+06
  0 q=1.00 E_hier_lineage   AP=0.3205 found=0.50 cu=3.26e+06
  1 q=0.10 H_mycelic_full   AP=0.0002 found=0.03 cu=1.96e+05
  1 q=0.10 B2_map_reduce    AP=0.0026 found=0.17 cu=8.92e+04
  1 q=0.10 E_hier_lineage   AP=0.0000 found=0.00 cu=1.04e+05
  1 q=0.28 H_mycelic_full   AP=0.0081 found=0.25 cu=3.87e+05
  1 q=0.28 B2_map_reduce    AP=0.0035 found=0.07 cu=1.75e+05
  1 q=0.28 E_hier_lineage   AP=0.0000 found=0.00 cu=2.09e+05
  1 q=0.44 H_mycelic_full   AP=0.0138 found=0.28 cu=6.95e+05
  1 q=0.44 B2_map_reduce    AP=0.0246 found=0.23 cu=3.21e+05
  1 q=0.44 E_hier_lineage   AP=0.0004 found=0.03 cu=3.87e+05
  1 q=0.58 H_mycelic_full   AP=0.0341 found=0.45 cu=1.15e+06
  1 q=0.58 B2_map_reduce    AP=0.0428 found=0.38 cu=5.45e+05
  1 q=0.58 E_hier_lineage   AP=0.0105 found=0.10 cu=6.62e+05
  1 q=0.72 H_mycelic_full   AP=0.0376 found=0.47 cu=1.97e+06
  1 q=0.72 B2_map_reduce    AP=0.0276 found=0.28 cu=9.23e+05
  1 q=0.72 E_hier_lineage   AP=0.0271 found=0.15 cu=1.13e+06
  1 q=0.88 H_mycelic_full   AP=0.0715 found=0.70 cu=3.62e+06
  1 q=0.88 B2_map_reduce    AP=0.1137 found=0.57 cu=1.69e+06
  1 q=0.88 E_hier_lineage   AP=0.0377 found=0.17 cu=2.07e+06
  1 q=1.00 H_mycelic_full   AP=0.0881 found=0.75 cu=5.72e+06
  1 q=1.00 B2_map_reduce    AP=0.1248 found=0.57 cu=2.64e+06
  1 q=1.00 E_hier_lineage   AP=0.1954 found=0.35 cu=3.26e+06
