  seed 500 qf0.50                   found=0.575 AP=0.2057 cov=0.825 rare=0.250 decoy=0.325 cu=1.24e+06 calls=2.71e+04 (7s)
  seed 500 qf0.65                   found=0.500 AP=0.1955 cov=0.900 rare=0.188 decoy=0.350 cu=1.40e+06 calls=2.74e+04 (8s)
  seed 500 qf0.80                   found=0.525 AP=0.2194 cov=0.925 rare=0.188 decoy=0.300 cu=1.63e+06 calls=2.76e+04 (8s)
  seed 500 qf1.00                   found=0.550 AP=0.1959 cov=0.925 rare=0.125 decoy=0.300 cu=1.94e+06 calls=2.76e+04 (9s)
  seed 501 qf0.50                   found=0.750 AP=0.2478 cov=0.925 rare=0.500 decoy=0.325 cu=1.23e+06 calls=2.66e+04 (7s)
  seed 501 qf0.65                   found=0.725 AP=0.2495 cov=0.950 rare=0.571 decoy=0.325 cu=1.39e+06 calls=2.69e+04 (8s)
  seed 501 qf0.80                   found=0.775 AP=0.2385 cov=0.975 rare=0.571 decoy=0.350 cu=1.57e+06 calls=2.71e+04 (8s)
  seed 501 qf1.00                   found=0.700 AP=0.1917 cov=0.975 rare=0.500 decoy=0.325 cu=1.84e+06 calls=2.71e+04 (10s)
  seed 502 qf0.50                   found=0.525 AP=0.2023 cov=0.800 rare=0.278 decoy=0.475 cu=1.19e+06 calls=2.55e+04 (7s)
  seed 502 qf0.65                   found=0.575 AP=0.2295 cov=0.925 rare=0.333 decoy=0.525 cu=1.35e+06 calls=2.60e+04 (9s)
  seed 502 qf0.80                   found=0.575 AP=0.1630 cov=0.975 rare=0.333 decoy=0.525 cu=1.53e+06 calls=2.62e+04 (8s)
  seed 502 qf1.00                   found=0.525 AP=0.1714 cov=0.975 rare=0.222 decoy=0.500 cu=1.77e+06 calls=2.63e+04 (9s)

**qf0.65 vs qf0.50** — 3 paired seeds

| metric | base | variant | Δ | 95% CI | better on | sign p | verdict |
|---|---:|---:|---:|---|---:|---:|---|
| found | 0.6167 | 0.6000 | -0.0167 | [-0.0750, +0.0500] | 1/3 | 1.000 | inside noise |
| AP | 0.2186 | 0.2248 | +0.0062 | [-0.0102, +0.0272] | 2/3 | 1.000 | inside noise |
| R@100 | 0.3917 | 0.4167 | +0.0250 | [-0.0250, +0.0750] | 2/3 | 1.000 | inside noise |
| rare recall | 0.3426 | 0.3641 | +0.0215 | [-0.0625, +0.0714] | 2/3 | 1.000 | inside noise |
| evidence cov. | 0.8500 | 0.9250 | +0.0750 | [+0.0250, +0.1250] | 3/3 | 0.250 | **better** |
| FDR | 0.9589 | 0.9600 | +0.0011 | [-0.0033, +0.0050] | 1/3 | 1.000 | inside noise |
| decoy acc. | 0.3750 | 0.4000 | +0.0250 | [+0.0000, +0.0500] | 0/2 | 0.500 | inside noise |
| indep. acc. | 0.7445 | 0.7416 | -0.0029 | [-0.0133, +0.0089] | 1/3 | 1.000 | inside noise |
| lineage | 0.5056 | 0.5087 | +0.0031 | [+0.0013, +0.0047] | 3/3 | 0.250 | **better** |
| contra F1 | 0.0000 | 0.2063 | +0.2063 | [+0.0000, +0.3333] | 2/2 | 0.500 | inside noise |
| compute | 1.22e+06 | 1.38e+06 | +1.60e+05 | [+1.55e+05, +1.63e+05] | 0/3 | 0.250 | **worse** |
| calls | 2.64e+04 | 2.68e+04 | +3.93e+02 | [+3.72e+02, +4.28e+02] | 0/3 | 0.250 | **worse** |
| raw text out | 0.0000 | 0.0000 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
| claims out | 0.1393 | 0.1393 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |

**qf0.80 vs qf0.50** — 3 paired seeds

| metric | base | variant | Δ | 95% CI | better on | sign p | verdict |
|---|---:|---:|---:|---|---:|---:|---|
| found | 0.6167 | 0.6250 | +0.0083 | [-0.0500, +0.0500] | 2/3 | 1.000 | inside noise |
| AP | 0.2186 | 0.2069 | -0.0117 | [-0.0393, +0.0136] | 1/3 | 1.000 | inside noise |
| R@100 | 0.3917 | 0.4083 | +0.0167 | [-0.0500, +0.0750] | 2/3 | 1.000 | inside noise |
| rare recall | 0.3426 | 0.3641 | +0.0215 | [-0.0625, +0.0714] | 2/3 | 1.000 | inside noise |
| evidence cov. | 0.8500 | 0.9583 | +0.1083 | [+0.0500, +0.1750] | 3/3 | 0.250 | **better** |
| FDR | 0.9589 | 0.9578 | -0.0011 | [-0.0050, +0.0033] | 2/3 | 1.000 | inside noise |
| decoy acc. | 0.3750 | 0.3917 | +0.0167 | [-0.0250, +0.0500] | 1/3 | 1.000 | inside noise |
| indep. acc. | 0.7445 | 0.7448 | +0.0003 | [-0.0145, +0.0080] | 2/3 | 1.000 | inside noise |
| lineage | 0.5056 | 0.5082 | +0.0026 | [-0.0008, +0.0081] | 2/3 | 1.000 | inside noise |
| contra F1 | 0.0000 | 0.2088 | +0.2088 | [+0.0000, +0.4444] | 2/2 | 0.500 | inside noise |
| compute | 1.22e+06 | 1.58e+06 | +3.60e+05 | [+3.38e+05, +3.94e+05] | 0/3 | 0.250 | **worse** |
| calls | 2.64e+04 | 2.70e+04 | +5.78e+02 | [+5.21e+02, +6.89e+02] | 0/3 | 0.250 | **worse** |
| raw text out | 0.0000 | 0.0000 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
| claims out | 0.1393 | 0.1393 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |

**qf1.00 vs qf0.50** — 3 paired seeds

| metric | base | variant | Δ | 95% CI | better on | sign p | verdict |
|---|---:|---:|---:|---|---:|---:|---|
| found | 0.6167 | 0.5917 | -0.0250 | [-0.0500, +0.0000] | 0/2 | 0.500 | inside noise |
| AP | 0.2186 | 0.1863 | -0.0323 | [-0.0561, -0.0098] | 0/3 | 0.250 | **worse** |
| R@100 | 0.3917 | 0.3833 | -0.0083 | [-0.0750, +0.0500] | 1/2 | 1.000 | inside noise |
| rare recall | 0.3426 | 0.2824 | -0.0602 | [-0.1250, +0.0000] | 0/2 | 0.500 | inside noise |
| evidence cov. | 0.8500 | 0.9583 | +0.1083 | [+0.0500, +0.1750] | 3/3 | 0.250 | **better** |
| FDR | 0.9589 | 0.9605 | +0.0017 | [+0.0000, +0.0033] | 0/2 | 0.500 | inside noise |
| decoy acc. | 0.3750 | 0.3750 | +0.0000 | [-0.0250, +0.0250] | 1/2 | 1.000 | same |
| indep. acc. | 0.7445 | 0.7900 | +0.0454 | [+0.0325, +0.0591] | 3/3 | 0.250 | **better** |
| lineage | 0.5056 | 0.5168 | +0.0112 | [-0.0063, +0.0232] | 2/3 | 1.000 | inside noise |
| contra F1 | 0.0000 | 0.0952 | +0.0952 | [+0.0000, +0.2857] | 1/1 | 1.000 | inside noise |
| compute | 1.22e+06 | 1.85e+06 | +6.30e+05 | [+5.81e+05, +7.03e+05] | 0/3 | 0.250 | **worse** |
| calls | 2.64e+04 | 2.70e+04 | +6.22e+02 | [+5.64e+02, +7.32e+02] | 0/3 | 0.250 | **worse** |
| raw text out | 0.0000 | 0.0000 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
| claims out | 0.1393 | 0.1393 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
QFCAL_DONE
