  seed 0 qf0.50                   found=0.475 AP=0.1481 cov=0.775 rare=0.235 decoy=0.300 cu=1.17e+06 calls=2.61e+04 (9s)
  seed 0 qf0.65                   found=0.475 AP=0.1888 cov=0.950 rare=0.176 decoy=0.325 cu=1.32e+06 calls=2.64e+04 (9s)
  seed 0 qf0.80                   found=0.500 AP=0.0752 cov=1.000 rare=0.235 decoy=0.350 cu=1.48e+06 calls=2.66e+04 (8s)
  seed 0 qf1.00                   found=0.500 AP=0.0365 cov=1.000 rare=0.176 decoy=0.325 cu=1.71e+06 calls=2.66e+04 (9s)
  seed 1 qf0.50                   found=0.450 AP=0.0825 cov=0.875 rare=0.250 decoy=0.300 cu=1.20e+06 calls=2.66e+04 (7s)
  seed 1 qf0.65                   found=0.500 AP=0.0751 cov=0.975 rare=0.250 decoy=0.300 cu=1.36e+06 calls=2.70e+04 (7s)
  seed 1 qf0.80                   found=0.450 AP=0.0233 cov=0.975 rare=0.150 decoy=0.300 cu=1.55e+06 calls=2.71e+04 (9s)
  seed 1 qf1.00                   found=0.450 AP=0.0475 cov=0.975 rare=0.200 decoy=0.300 cu=1.78e+06 calls=2.71e+04 (9s)
  seed 2 qf0.50                   found=0.650 AP=0.1984 cov=0.950 rare=0.533 decoy=0.400 cu=1.22e+06 calls=2.66e+04 (7s)
  seed 2 qf0.65                   found=0.650 AP=0.1517 cov=0.975 rare=0.600 decoy=0.375 cu=1.39e+06 calls=2.69e+04 (8s)
  seed 2 qf0.80                   found=0.600 AP=0.0519 cov=0.975 rare=0.467 decoy=0.400 cu=1.58e+06 calls=2.71e+04 (9s)
  seed 2 qf1.00                   found=0.575 AP=0.0338 cov=0.975 rare=0.533 decoy=0.375 cu=1.84e+06 calls=2.71e+04 (10s)
  seed 3 qf0.50                   found=0.650 AP=0.1421 cov=0.900 rare=0.400 decoy=0.250 cu=1.27e+06 calls=2.66e+04 (7s)
  seed 3 qf0.65                   found=0.650 AP=0.1444 cov=1.000 rare=0.467 decoy=0.275 cu=1.43e+06 calls=2.69e+04 (7s)
  seed 3 qf0.80                   found=0.650 AP=0.0598 cov=1.000 rare=0.533 decoy=0.300 cu=1.64e+06 calls=2.70e+04 (9s)
  seed 3 qf1.00                   found=0.650 AP=0.0470 cov=1.000 rare=0.467 decoy=0.200 cu=1.92e+06 calls=2.71e+04 (10s)
  seed 4 qf0.50                   found=0.550 AP=0.2151 cov=0.875 rare=0.364 decoy=0.350 cu=1.15e+06 calls=2.52e+04 (7s)
  seed 4 qf0.65                   found=0.650 AP=0.2251 cov=0.950 rare=0.455 decoy=0.375 cu=1.30e+06 calls=2.57e+04 (6s)
  seed 4 qf0.80                   found=0.625 AP=0.0584 cov=0.975 rare=0.455 decoy=0.375 cu=1.47e+06 calls=2.59e+04 (8s)
  seed 4 qf1.00                   found=0.650 AP=0.0673 cov=0.975 rare=0.545 decoy=0.375 cu=1.70e+06 calls=2.59e+04 (9s)

**qf0.65 vs qf0.50** — 5 paired seeds

| metric | base | variant | Δ | 95% CI | better on | sign p | verdict |
|---|---:|---:|---:|---|---:|---:|---|
| found | 0.5550 | 0.5850 | +0.0300 | [+0.0000, +0.0700] | 2/2 | 0.500 | inside noise |
| AP | 0.1572 | 0.1570 | -0.0002 | [-0.0255, +0.0250] | 3/5 | 1.000 | inside noise |
| R@100 | 0.2950 | 0.2850 | -0.0100 | [-0.0300, +0.0000] | 0/1 | 1.000 | inside noise |
| rare recall | 0.3565 | 0.3895 | +0.0331 | [-0.0171, +0.0764] | 3/4 | 0.625 | inside noise |
| evidence cov. | 0.8750 | 0.9700 | +0.0950 | [+0.0550, +0.1400] | 5/5 | 0.062 | **better** |
| FDR | 0.9629 | 0.9609 | -0.0020 | [-0.0047, +0.0000] | 2/3 | 1.000 | inside noise |
| decoy acc. | 0.3200 | 0.3300 | +0.0100 | [-0.0100, +0.0250] | 1/4 | 0.625 | inside noise |
| indep. acc. | 0.7684 | 0.7650 | -0.0034 | [-0.0124, +0.0067] | 2/5 | 1.000 | inside noise |
| lineage | 0.5115 | 0.5246 | +0.0131 | [+0.0045, +0.0203] | 4/5 | 0.375 | **better** |
| contra F1 | 0.2253 | 0.1602 | -0.0651 | [-0.1667, +0.0315] | 2/4 | 1.000 | inside noise |
| compute | 1.20e+06 | 1.36e+06 | +1.58e+05 | [+1.52e+05, +1.63e+05] | 0/5 | 0.062 | **worse** |
| calls | 2.62e+04 | 2.66e+04 | +3.73e+02 | [+3.36e+02, +4.17e+02] | 0/5 | 0.062 | **worse** |
| raw text out | 0.0000 | 0.0000 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
| claims out | 0.1381 | 0.1381 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |

**qf0.80 vs qf0.50** — 5 paired seeds

| metric | base | variant | Δ | 95% CI | better on | sign p | verdict |
|---|---:|---:|---:|---|---:|---:|---|
| found | 0.5550 | 0.5650 | +0.0100 | [-0.0250, +0.0450] | 2/3 | 1.000 | inside noise |
| AP | 0.1572 | 0.0537 | -0.1035 | [-0.1377, -0.0693] | 0/5 | 0.062 | **worse** |
| R@100 | 0.2950 | 0.2200 | -0.0750 | [-0.1000, -0.0450] | 0/5 | 0.062 | **worse** |
| rare recall | 0.3565 | 0.3680 | +0.0115 | [-0.0667, +0.0897] | 2/4 | 1.000 | inside noise |
| evidence cov. | 0.8750 | 0.9850 | +0.1100 | [+0.0550, +0.1750] | 5/5 | 0.062 | **better** |
| FDR | 0.9629 | 0.9622 | -0.0007 | [-0.0031, +0.0017] | 2/3 | 1.000 | inside noise |
| decoy acc. | 0.3200 | 0.3450 | +0.0250 | [+0.0050, +0.0450] | 0/3 | 0.250 | **worse** |
| indep. acc. | 0.7684 | 0.7732 | +0.0048 | [-0.0150, +0.0204] | 3/5 | 1.000 | inside noise |
| lineage | 0.5115 | 0.5365 | +0.0251 | [+0.0168, +0.0316] | 5/5 | 0.062 | **better** |
| contra F1 | 0.2253 | 0.1060 | -0.1193 | [-0.2141, +0.0179] | 1/5 | 0.375 | inside noise |
