  seed 0 H_mycelic_full           found=0.300 AP=0.0077 cov=0.625 rare=0.118 cu=1.04e+06 (6s)
  seed 0 H_mycelic_full           found=0.400 AP=0.0976 cov=0.625 rare=0.176 cu=1.03e+06 (5s)
  seed 1 H_mycelic_full           found=0.300 AP=0.0496 cov=0.625 rare=0.150 cu=1.08e+06 (5s)
  seed 1 H_mycelic_full           found=0.350 AP=0.1049 cov=0.600 rare=0.100 cu=1.08e+06 (5s)
  seed 2 H_mycelic_full           found=0.425 AP=0.0172 cov=0.775 rare=0.267 cu=1.13e+06 (6s)
  seed 2 H_mycelic_full           found=0.450 AP=0.1522 cov=0.775 rare=0.267 cu=1.13e+06 (6s)
  seed 3 H_mycelic_full           found=0.475 AP=0.0277 cov=0.725 rare=0.267 cu=1.17e+06 (6s)
  seed 3 H_mycelic_full           found=0.575 AP=0.2012 cov=0.725 rare=0.200 cu=1.16e+06 (5s)
  seed 4 H_mycelic_full           found=0.375 AP=0.0112 cov=0.700 rare=0.273 cu=1.02e+06 (6s)
  seed 4 H_mycelic_full           found=0.425 AP=0.1034 cov=0.700 rare=0.091 cu=1.01e+06 (5s)

**H_mycelic_full+rk_H vs H_mycelic_full** — 5 paired seeds

| metric | base | variant | Δ | 95% CI | better on | sign p | verdict |
|---|---:|---:|---:|---|---:|---:|---|
| found | 0.3750 | 0.4400 | +0.0650 | [+0.0400, +0.0900] | 5/5 | 0.062 | **better** |
| AP | 0.0227 | 0.1318 | +0.1091 | [+0.0765, +0.1427] | 5/5 | 0.062 | **better** |
| R@100 | 0.0900 | 0.2500 | +0.1600 | [+0.1400, +0.1800] | 5/5 | 0.062 | **better** |
| rare recall | 0.2147 | 0.1668 | -0.0479 | [-0.1191, +0.0136] | 1/4 | 0.625 | inside noise |
| evidence cov. | 0.6900 | 0.6850 | -0.0050 | [-0.0150, +0.0000] | 0/1 | 1.000 | inside noise |
| FDR | 0.9747 | 0.9705 | -0.0042 | [-0.0059, -0.0025] | 5/5 | 0.062 | **better** |
| decoy acc. | 0.1800 | 0.2450 | +0.0650 | [+0.0200, +0.0950] | 1/5 | 0.375 | **worse** |
| indep. acc. | 0.7330 | 0.7561 | +0.0230 | [-0.0134, +0.0595] | 3/5 | 1.000 | inside noise |
| lineage | 0.4925 | 0.5440 | +0.0515 | [+0.0271, +0.0864] | 5/5 | 0.062 | **better** |
| contra F1 | 0.1911 | 0.1867 | -0.0044 | [-0.0133, +0.0000] | 0/1 | 1.000 | inside noise |
| compute | 1.09e+06 | 1.08e+06 | -6.10e+03 | [-1.21e+04, -1.46e+03] | 4/5 | 0.375 | **better** |
| calls | 9.10e+04 | 9.08e+04 | -2.47e+02 | [-5.50e+02, +5.60e+01] | 4/5 | 0.375 | inside noise |
| raw text out | 0.0000 | 0.0000 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
| claims out | 0.1381 | 0.1381 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
  seed 0 H_mycelic_full           found=0.300 AP=0.0077 cov=0.625 rare=0.118 cu=1.04e+06 (5s)
