  seed 0 v3                       found=0.530 AP=0.0469 cov=0.730 rare=0.356 decoy=0.400 cu=3.96e+06 calls=1.14e+05 (31s)
  seed 0 hyb                      found=0.600 AP=0.0661 cov=0.740 rare=0.356 decoy=0.370 cu=3.96e+06 calls=1.14e+05 (31s)
  seed 0 hyb_lean                 found=0.480 AP=0.1068 cov=0.530 rare=0.289 decoy=0.400 cu=2.74e+06 calls=1.13e+05 (29s)
  seed 1 v3                       found=0.490 AP=0.0874 cov=0.680 rare=0.256 decoy=0.280 cu=3.87e+06 calls=1.14e+05 (33s)
  seed 1 hyb                      found=0.520 AP=0.0977 cov=0.690 rare=0.282 decoy=0.370 cu=3.87e+06 calls=1.14e+05 (31s)
  seed 1 hyb_lean                 found=0.480 AP=0.1595 cov=0.550 rare=0.179 decoy=0.310 cu=2.69e+06 calls=1.12e+05 (29s)
  seed 2 v3                       found=0.560 AP=0.0983 cov=0.760 rare=0.393 decoy=0.320 cu=3.92e+06 calls=1.14e+05 (33s)
  seed 2 hyb                      found=0.640 AP=0.1305 cov=0.750 rare=0.393 decoy=0.380 cu=3.92e+06 calls=1.14e+05 (31s)
  seed 2 hyb_lean                 found=0.610 AP=0.2278 cov=0.660 rare=0.321 decoy=0.310 cu=2.71e+06 calls=1.13e+05 (27s)

**hyb vs v3** — 3 paired seeds

| metric | base | variant | Δ | 95% CI | better on | sign p | verdict |
|---|---:|---:|---:|---|---:|---:|---|
| found | 0.5267 | 0.5867 | +0.0600 | [+0.0300, +0.0800] | 3/3 | 0.250 | **better** |
| AP | 0.0775 | 0.0981 | +0.0206 | [+0.0103, +0.0322] | 3/3 | 0.250 | **better** |
| R@100 | 0.1567 | 0.2167 | +0.0600 | [+0.0500, +0.0700] | 3/3 | 0.250 | **better** |
| rare recall | 0.3349 | 0.3435 | +0.0085 | [+0.0000, +0.0256] | 1/1 | 1.000 | inside noise |
| evidence cov. | 0.7233 | 0.7267 | +0.0033 | [-0.0100, +0.0100] | 2/3 | 1.000 | inside noise |
| FDR | 0.9824 | 0.9803 | -0.0021 | [-0.0027, -0.0013] | 3/3 | 0.250 | **better** |
| decoy acc. | 0.3333 | 0.3733 | +0.0400 | [-0.0300, +0.0900] | 1/3 | 1.000 | inside noise |
| indep. acc. | 0.7609 | 0.7774 | +0.0165 | [-0.0240, +0.0412] | 2/3 | 1.000 | inside noise |
| lineage | 0.5135 | 0.5180 | +0.0045 | [+0.0008, +0.0082] | 3/3 | 0.250 | **better** |
| contra F1 | 0.1533 | 0.2458 | +0.0926 | [-0.0257, +0.2321] | 2/3 | 1.000 | inside noise |
| compute | 3.92e+06 | 3.91e+06 | -2.44e+03 | [-7.68e+03, +6.65e+03] | 2/3 | 1.000 | inside noise |
| calls | 1.14e+05 | 1.14e+05 | -4.37e+01 | [-1.80e+02, +2.02e+02] | 2/3 | 1.000 | inside noise |
| raw text out | 0.0000 | 0.0000 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
| claims out | 0.1386 | 0.1386 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |

**hyb_lean vs v3** — 3 paired seeds

| metric | base | variant | Δ | 95% CI | better on | sign p | verdict |
|---|---:|---:|---:|---|---:|---:|---|
| found | 0.5267 | 0.5233 | -0.0033 | [-0.0500, +0.0500] | 1/3 | 1.000 | inside noise |
| AP | 0.0775 | 0.1647 | +0.0872 | [+0.0598, +0.1295] | 3/3 | 0.250 | **better** |
| R@100 | 0.1567 | 0.2200 | +0.0633 | [+0.0300, +0.0900] | 3/3 | 0.250 | **better** |
| rare recall | 0.3349 | 0.2633 | -0.0717 | [-0.0769, -0.0667] | 0/3 | 0.250 | **worse** |
| evidence cov. | 0.7233 | 0.5800 | -0.1433 | [-0.2000, -0.1000] | 0/3 | 0.250 | **worse** |
| FDR | 0.9824 | 0.9824 | -0.0001 | [-0.0020, +0.0016] | 1/3 | 1.000 | inside noise |
| decoy acc. | 0.3333 | 0.3400 | +0.0067 | [-0.0100, +0.0300] | 1/2 | 1.000 | inside noise |
| indep. acc. | 0.7609 | 0.7831 | +0.0222 | [-0.0061, +0.0553] | 2/3 | 1.000 | inside noise |
| lineage | 0.5135 | 0.5094 | -0.0042 | [-0.0136, +0.0038] | 1/3 | 1.000 | inside noise |
| contra F1 | 0.1533 | 0.3079 | +0.1547 | [+0.0794, +0.2215] | 3/3 | 0.250 | **better** |
| compute | 3.92e+06 | 2.71e+06 | -1.20e+06 | [-1.22e+06, -1.18e+06] | 3/3 | 0.250 | **better** |
| calls | 1.14e+05 | 1.13e+05 | -1.22e+03 | [-1.30e+03, -1.11e+03] | 3/3 | 0.250 | **better** |
| raw text out | 0.0000 | 0.0000 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
| claims out | 0.1386 | 0.1386 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
V50HYB_DONE
