  seed 0 H_old                    found=0.390 AP=0.0066 cov=0.480 rare=0.267 decoy=0.190 cu=3.01e+06 calls=2.95e+05 (32s)
  seed 0 H_v3_qf0.65              found=0.530 AP=0.0469 cov=0.730 rare=0.356 decoy=0.400 cu=3.96e+06 calls=1.14e+05 (29s)
  seed 0 H_v3_qf0.80              found=0.540 AP=0.0399 cov=0.790 rare=0.356 decoy=0.440 cu=4.44e+06 calls=1.16e+05 (33s)
  seed 0 H_v3_qf1.00              found=0.530 AP=0.0336 cov=0.810 rare=0.356 decoy=0.410 cu=5.27e+06 calls=1.18e+05 (36s)
  seed 0 H_v3_qf0.65_rx           found=0.570 AP=0.0706 cov=0.730 rare=0.378 decoy=0.370 cu=3.99e+06 calls=1.14e+05 (177s)
  seed 0 A2_old                   found=0.690 AP=0.0430 cov=1.000 rare=0.622 decoy=0.400 cu=1.02e+07 calls=1.00e+01 (11s)
  seed 0 A2_v3                    found=0.770 AP=0.1269 cov=1.000 rare=0.711 decoy=0.470 cu=1.02e+07 calls=1.00e+01 (12s)
  seed 1 H_old                    found=0.310 AP=0.0091 cov=0.380 rare=0.154 decoy=0.200 cu=2.94e+06 calls=2.86e+05 (34s)
  seed 1 H_v3_qf0.65              found=0.490 AP=0.0874 cov=0.680 rare=0.256 decoy=0.280 cu=3.87e+06 calls=1.14e+05 (30s)
  seed 1 H_v3_qf0.80              found=0.520 AP=0.0906 cov=0.740 rare=0.231 decoy=0.340 cu=4.32e+06 calls=1.16e+05 (31s)
  seed 1 H_v3_qf1.00              found=0.500 AP=0.0312 cov=0.750 rare=0.205 decoy=0.330 cu=5.04e+06 calls=1.17e+05 (36s)
  seed 1 H_v3_qf0.65_rx           found=0.480 AP=0.0958 cov=0.680 rare=0.231 decoy=0.330 cu=3.87e+06 calls=1.13e+05 (173s)
  seed 1 A2_old                   found=0.680 AP=0.0257 cov=1.000 rare=0.564 decoy=0.300 cu=1.02e+07 calls=1.00e+01 (12s)
  seed 1 A2_v3                    found=0.760 AP=0.0685 cov=1.000 rare=0.641 decoy=0.360 cu=1.02e+07 calls=1.00e+01 (14s)
  seed 2 H_old                    found=0.390 AP=0.0087 cov=0.490 rare=0.286 decoy=0.200 cu=2.96e+06 calls=2.87e+05 (33s)
  seed 2 H_v3_qf0.65              found=0.560 AP=0.0983 cov=0.760 rare=0.393 decoy=0.320 cu=3.92e+06 calls=1.14e+05 (28s)
  seed 2 H_v3_qf0.80              found=0.540 AP=0.0930 cov=0.780 rare=0.321 decoy=0.320 cu=4.40e+06 calls=1.17e+05 (31s)
  seed 2 H_v3_qf1.00              found=0.570 AP=0.0390 cov=0.800 rare=0.321 decoy=0.340 cu=5.15e+06 calls=1.18e+05 (36s)
  seed 2 H_v3_qf0.65_rx           found=0.550 AP=0.0822 cov=0.750 rare=0.321 decoy=0.420 cu=3.96e+06 calls=1.15e+05 (197s)
  seed 2 A2_old                   found=0.740 AP=0.1096 cov=1.000 rare=0.679 decoy=0.420 cu=1.02e+07 calls=1.00e+01 (10s)
  seed 2 A2_v3                    found=0.810 AP=0.1437 cov=1.000 rare=0.679 decoy=0.500 cu=1.02e+07 calls=1.00e+01 (16s)

**H_v3_qf0.65 vs H_old** — 3 paired seeds

| metric | base | variant | Δ | 95% CI | better on | sign p | verdict |
|---|---:|---:|---:|---|---:|---:|---|
| found | 0.3633 | 0.5267 | +0.1633 | [+0.1400, +0.1800] | 3/3 | 0.250 | **better** |
| AP | 0.0081 | 0.0775 | +0.0694 | [+0.0403, +0.0896] | 3/3 | 0.250 | **better** |
| R@100 | 0.0167 | 0.1567 | +0.1400 | [+0.1100, +0.1800] | 3/3 | 0.250 | **better** |
| rare recall | 0.2354 | 0.3349 | +0.0995 | [+0.0889, +0.1071] | 3/3 | 0.250 | **better** |
| evidence cov. | 0.4500 | 0.7233 | +0.2733 | [+0.2500, +0.3000] | 3/3 | 0.250 | **better** |
| FDR | 0.9874 | 0.9824 | -0.0050 | [-0.0055, -0.0042] | 3/3 | 0.250 | **better** |
| decoy acc. | 0.1967 | 0.3333 | +0.1367 | [+0.0800, +0.2100] | 0/3 | 0.250 | **worse** |
| indep. acc. | 0.7552 | 0.7609 | +0.0057 | [-0.0514, +0.0619] | 2/3 | 1.000 | inside noise |
| lineage | 0.5149 | 0.5135 | -0.0014 | [-0.0233, +0.0135] | 2/3 | 1.000 | inside noise |
| contra F1 | 0.2778 | 0.1533 | -0.1245 | [-0.2571, -0.0267] | 0/3 | 0.250 | **worse** |
| compute | 2.97e+06 | 3.92e+06 | +9.48e+05 | [+9.24e+05, +9.65e+05] | 0/3 | 0.250 | **worse** |
| calls | 2.89e+05 | 1.14e+05 | -1.75e+05 | [-1.81e+05, -1.72e+05] | 3/3 | 0.250 | **better** |
| raw text out | 0.0000 | 0.0000 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
| claims out | 0.1386 | 0.1386 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |

**H_v3_qf0.80 vs H_old** — 3 paired seeds

| metric | base | variant | Δ | 95% CI | better on | sign p | verdict |
|---|---:|---:|---:|---|---:|---:|---|
| found | 0.3633 | 0.5333 | +0.1700 | [+0.1500, +0.2100] | 3/3 | 0.250 | **better** |
| AP | 0.0081 | 0.0745 | +0.0664 | [+0.0333, +0.0842] | 3/3 | 0.250 | **better** |
| R@100 | 0.0167 | 0.1400 | +0.1233 | [+0.1000, +0.1600] | 3/3 | 0.250 | **better** |
| rare recall | 0.2354 | 0.3026 | +0.0672 | [+0.0357, +0.0889] | 3/3 | 0.250 | **better** |
| evidence cov. | 0.4500 | 0.7700 | +0.3200 | [+0.2900, +0.3600] | 3/3 | 0.250 | **better** |
| FDR | 0.9874 | 0.9822 | -0.0052 | [-0.0065, -0.0045] | 3/3 | 0.250 | **better** |
| decoy acc. | 0.1967 | 0.3667 | +0.1700 | [+0.1200, +0.2500] | 0/3 | 0.250 | **worse** |
| indep. acc. | 0.7552 | 0.7607 | +0.0055 | [-0.0495, +0.0645] | 2/3 | 1.000 | inside noise |
| lineage | 0.5149 | 0.5146 | -0.0003 | [-0.0221, +0.0224] | 1/3 | 1.000 | inside noise |
| contra F1 | 0.2778 | 0.1296 | -0.1481 | [-0.1778, -0.1000] | 0/3 | 0.250 | **worse** |
| compute | 2.97e+06 | 4.39e+06 | +1.42e+06 | [+1.38e+06, +1.44e+06] | 0/3 | 0.250 | **worse** |
| calls | 2.89e+05 | 1.16e+05 | -1.73e+05 | [-1.79e+05, -1.70e+05] | 3/3 | 0.250 | **better** |
| raw text out | 0.0000 | 0.0000 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
| claims out | 0.1386 | 0.1386 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |

**H_v3_qf1.00 vs H_old** — 3 paired seeds

| metric | base | variant | Δ | 95% CI | better on | sign p | verdict |
|---|---:|---:|---:|---|---:|---:|---|
| found | 0.3633 | 0.5333 | +0.1700 | [+0.1400, +0.1900] | 3/3 | 0.250 | **better** |
| AP | 0.0081 | 0.0346 | +0.0265 | [+0.0222, +0.0303] | 3/3 | 0.250 | **better** |
| R@100 | 0.0167 | 0.1033 | +0.0867 | [+0.0600, +0.1100] | 3/3 | 0.250 | **better** |
| rare recall | 0.2354 | 0.2940 | +0.0586 | [+0.0357, +0.0889] | 3/3 | 0.250 | **better** |
| evidence cov. | 0.4500 | 0.7867 | +0.3367 | [+0.3100, +0.3700] | 3/3 | 0.250 | **better** |
| FDR | 0.9874 | 0.9822 | -0.0052 | [-0.0058, -0.0042] | 3/3 | 0.250 | **better** |
| decoy acc. | 0.1967 | 0.3600 | +0.1633 | [+0.1300, +0.2200] | 0/3 | 0.250 | **worse** |
| indep. acc. | 0.7552 | 0.7591 | +0.0039 | [-0.0515, +0.0640] | 1/3 | 1.000 | inside noise |
| lineage | 0.5149 | 0.5271 | +0.0122 | [-0.0159, +0.0267] | 2/3 | 1.000 | inside noise |
| contra F1 | 0.2778 | 0.1445 | -0.1332 | [-0.2621, +0.0000] | 0/2 | 0.500 | inside noise |
| compute | 2.97e+06 | 5.15e+06 | +2.18e+06 | [+2.10e+06, +2.26e+06] | 0/3 | 0.250 | **worse** |
| calls | 2.89e+05 | 1.18e+05 | -1.72e+05 | [-1.77e+05, -1.69e+05] | 3/3 | 0.250 | **better** |
| raw text out | 0.0000 | 0.0000 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
| claims out | 0.1386 | 0.1386 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |

**H_v3_qf0.65_rx vs H_old** — 3 paired seeds

| metric | base | variant | Δ | 95% CI | better on | sign p | verdict |
|---|---:|---:|---:|---|---:|---:|---|
| found | 0.3633 | 0.5333 | +0.1700 | [+0.1600, +0.1800] | 3/3 | 0.250 | **better** |
| AP | 0.0081 | 0.0829 | +0.0747 | [+0.0640, +0.0867] | 3/3 | 0.250 | **better** |
| R@100 | 0.0167 | 0.1567 | +0.1400 | [+0.1300, +0.1500] | 3/3 | 0.250 | **better** |
| rare recall | 0.2354 | 0.3100 | +0.0746 | [+0.0357, +0.1111] | 3/3 | 0.250 | **better** |
| evidence cov. | 0.4500 | 0.7200 | +0.2700 | [+0.2500, +0.3000] | 3/3 | 0.250 | **better** |
| FDR | 0.9874 | 0.9821 | -0.0053 | [-0.0055, -0.0049] | 3/3 | 0.250 | **better** |
| decoy acc. | 0.1967 | 0.3733 | +0.1767 | [+0.1300, +0.2200] | 0/3 | 0.250 | **worse** |
| indep. acc. | 0.7552 | 0.7544 | -0.0008 | [-0.0311, +0.0262] | 2/3 | 1.000 | inside noise |
| lineage | 0.5149 | 0.5186 | +0.0037 | [-0.0307, +0.0210] | 2/3 | 1.000 | inside noise |
| contra F1 | 0.2778 | 0.1758 | -0.1019 | [-0.2333, +0.0942] | 1/3 | 1.000 | inside noise |
| compute | 2.97e+06 | 3.94e+06 | +9.70e+05 | [+9.29e+05, +1.00e+06] | 0/3 | 0.250 | **worse** |
| calls | 2.89e+05 | 1.14e+05 | -1.75e+05 | [-1.81e+05, -1.72e+05] | 3/3 | 0.250 | **better** |
| raw text out | 0.0000 | 0.0000 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
| claims out | 0.1386 | 0.1386 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |

